education,skills,interests,career_label
Computer Science,Python Java C++,AI Data Analysis,AI Engineer
Computer Science,JavaScript HTML CSS React,Web Design UI/UX,Frontend Developer
Information Technology,Network Linux Bash,Security Cyber,Cybersecurity Analyst
Self-Taught,Python JavaScript HTML,Web App Coding,Full Stack Developer
Mathematics,Python R SQL,Statistics Math,Data Scientist
Business,Excel SQL Python,Finance Analysis,Data Analyst
Marketing,HTML CSS SEO,Digital Media Content,Digital Marketer
Physics,Python C++ Matlab,Research Simulation,Research Scientist
Computer Science,Java Spring SQL,Backend API,Backend Developer
Graphic Design,Adobe Figma CSS,Design Creative,UI/UX Designer
Software Engineering,Go Docker Kubernetes,Cloud DevOps,DevOps Engineer
Computer Science,Python PyTorch TensorFlow,Deep Learning AI,AI Researcher
Bootcamp,JavaScript Node.js Express,Web Backend,Backend Developer
High School,Python HTML,Coding Games,Junior Developer
Economics,R Python Stata,Economics Data,Data Analyst
Computer Science,C# .NET Azure,Enterprise Software,Software Engineer
Biology,Python BioPython,Biology Data,Bioinformatics Scientist
undergraduate,HTML CSS JavaScript,Web Design,Frontend Developer
graduate,Python SQL Machine Learning,Data Science,Data Scientist
High School,React JavaScript,Web Development,Frontend Developer
Self-Taught,Python TensorFlow,AI Machine Learning,AI Engineer
Computer Science,JavaScript React Node.js,Web Development,Full Stack Developer
Information Technology,Linux Python AWS,Cloud Computing,Cloud Engineer
Business,Python SQL PowerBI,Business Analysis,Data Analyst
Computer Science,C++ OpenGL,Game Development,Game Developer
